Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
get-vertex,278705,413,0,2593,"450,91","15,750%","308,99758","243,63","48,56","807,4"
get-person,278534,450,0,2777,"463,57","12,383%","308,82066","208,44","50,47","691,1"
traversal,278339,510,3,4924,"520,50","12,785%","308,50663","2526,25","99,59","8385,2"
get-edge,278112,452,0,2579,"461,45","11,838%","308,35380","194,49","51,24","645,9"
put-movie,277909,461,1,2538,"487,08","12,558%","308,12838","175,28","75,27","582,5"
read,3292418,464,0,6489,"476,02","13,187%","723,13172","1858,58","146,36","2631,9"
write,821623,468,0,2838,"484,96","12,519%","180,45869","102,43","44,11","581,2"
TOTAL,5505640,463,0,6489,"477,96","13,056%","944,16476","2049,13","199,01","2222,4"
